,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
564,36.43,38.43,2.00,38.43,29.71,29.41,0.30,29.71,25.47,26.46,0.98,0.07,24.62,53.05,29.67,0.87,0.90,-22.79,-25.23
565,32.59,35.42,2.83,35.42,28.99,27.86,1.13,28.99,23.92,24.61,0.70,0.04,24.50,55.75,32.48,0.91,0.84,-24.61,-18.82
566,41.56,35.21,6.35,41.56,31.93,29.33,2.59,31.93,26.79,25.04,1.75,0.06,25.81,54.88,30.36,0.86,0.91,-22.60,-24.99
567,37.56,34.55,3.02,37.56,29.31,29.66,0.34,29.66,24.70,24.90,0.21,0.06,14.99,46.60,32.35,0.86,0.85,-21.59,-21.08
568,36.70,32.72,3.98,36.70,28.20,24.77,3.43,28.20,24.43,21.49,2.95,0.05,18.97,53.74,35.72,0.89,0.84,-20.44,-17.33
569,34.29,35.99,1.70,35.99,27.73,30.11,2.38,30.11,24.54,26.54,2.00,0.03,27.50,55.58,29.46,0.85,0.89,-20.50,-25.17
570,39.73,32.76,6.97,39.73,31.64,27.02,4.62,31.64,27.58,24.01,3.57,0.05,40.64,70.60,31.99,0.90,0.85,-25.96,-19.89
571,32.49,29.95,2.54,32.49,28.36,23.55,4.80,28.36,25.79,21.92,3.87,0.03,26.76,57.16,31.74,0.93,0.82,-25.94,-16.16
572,39.95,31.99,7.96,39.95,32.40,26.63,5.76,32.40,28.20,22.76,5.44,0.03,18.94,50.99,33.00,0.90,0.84,-26.14,-18.22
573,36.75,36.95,0.21,36.95,31.07,27.75,3.32,31.07,26.72,25.15,1.58,0.03,24.38,54.13,30.97,0.91,0.86,-25.56,-21.10
574,37.36,34.58,2.78,37.36,30.00,29.80,0.21,30.00,25.80,25.09,0.72,0.03,25.67,55.59,31.21,0.87,0.89,-22.54,-23.69
575,41.04,39.80,1.24,41.04,29.48,31.41,1.93,31.41,26.52,26.31,0.20,0.07,30.84,59.89,30.59,0.85,0.88,-21.62,-24.78
576,36.75,32.01,4.74,36.75,25.57,26.14,0.57,26.14,22.51,22.66,0.15,0.08,27.89,63.44,36.94,0.82,0.88,-16.21,-20.07
577,41.34,30.69,10.65,41.34,30.74,28.19,2.55,30.74,27.16,23.95,3.21,0.05,18.99,46.85,28.80,0.87,0.84,-23.86,-21.25
578,34.05,33.49,0.55,34.05,27.83,27.73,0.10,27.83,24.99,25.14,0.15,0.04,28.49,58.38,31.32,0.90,0.90,-22.81,-23.66
579,33.40,35.10,1.70,35.10,27.73,29.52,1.79,29.52,23.64,25.45,1.81,0.05,23.42,57.01,34.76,0.86,0.90,-20.33,-23.12
580,36.16,37.70,1.54,37.70,26.97,33.89,6.92,33.89,24.01,27.72,3.71,0.13,25.81,54.31,29.78,0.83,0.90,-19.52,-26.68
581,36.27,37.48,1.21,37.48,32.04,29.19,2.85,32.04,26.58,24.72,1.86,0.04,25.11,56.16,32.30,0.90,0.81,-26.15,-18.64
582,44.94,39.57,5.37,44.94,30.65,30.58,0.07,30.65,26.98,26.17,0.80,0.10,24.37,54.76,31.60,0.83,0.89,-20.48,-24.29
583,32.77,31.28,1.49,32.77,27.82,26.29,1.53,27.82,24.78,22.91,1.86,0.01,39.46,69.91,32.42,0.90,0.85,-23.60,-19.76
584,36.63,30.50,6.12,36.63,30.16,24.72,5.44,30.16,26.41,21.97,4.43,0.03,26.10,57.01,32.22,0.87,0.80,-24.34,-15.90
585,39.85,37.25,2.60,39.85,29.31,30.60,1.29,30.60,26.33,24.53,1.79,0.09,22.24,52.61,31.49,0.88,0.84,-23.48,-20.98
586,35.99,33.60,2.39,35.99,31.76,28.80,2.96,31.76,27.76,25.00,2.76,0.02,28.84,58.93,31.54,0.91,0.83,-27.50,-19.65
587,36.06,37.54,1.48,37.54,29.31,26.11,3.20,29.31,25.95,23.88,2.07,0.06,23.38,53.89,31.68,0.93,0.84,-25.86,-18.79
588,35.44,32.80,2.63,35.44,29.49,27.96,1.53,29.49,25.77,24.46,1.30,0.05,24.13,54.11,31.19,0.90,0.86,-24.45,-21.27
