,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
22,31.89,35.10,3.21,35.10,27.60,27.14,0.47,27.60,24.29,24.52,0.23,0.05,61.80,90.00,31.29,28.35,27.96
23,33.64,33.20,0.44,33.64,27.16,28.14,0.98,28.14,24.63,25.10,0.46,0.02,57.95,90.00,34.95,28.05,28.52
24,32.00,32.26,0.25,32.26,20.37,23.14,2.77,23.14,19.86,21.33,1.47,0.06,52.81,90.00,39.83,21.63,23.42
25,38.25,36.56,1.69,38.25,25.71,26.96,1.24,26.96,24.33,23.73,0.60,0.05,49.79,90.00,42.70,25.60,25.91
26,36.43,38.51,2.08,38.51,28.99,26.31,2.69,28.99,26.34,25.23,1.11,0.04,46.77,90.00,45.56,27.33,26.19
27,29.87,32.42,2.55,32.42,21.65,25.87,4.23,25.87,20.68,23.54,2.86,0.05,56.02,90.00,36.79,22.55,27.30
28,36.89,30.07,6.82,36.89,30.20,21.66,8.54,30.20,26.12,20.56,5.56,0.07,59.65,90.00,33.33,29.84,22.14
29,33.49,29.95,3.54,33.49,26.07,23.08,2.99,26.07,24.02,21.62,2.40,0.04,53.43,90.00,39.24,26.33,23.18
30,35.18,33.62,1.56,35.18,28.58,25.90,2.68,28.58,26.04,23.59,2.45,0.02,58.85,90.00,34.09,28.85,26.29
31,29.46,33.47,4.01,33.47,24.83,27.27,2.44,27.27,23.55,25.43,1.88,0.03,57.45,90.00,35.42,25.74,27.78
32,34.24,29.41,4.84,34.24,24.02,23.71,0.31,24.02,21.76,21.79,0.03,0.05,52.49,90.00,40.13,23.26,23.85
33,34.00,32.62,1.38,34.00,25.74,24.78,0.95,25.74,23.87,22.96,0.91,0.05,57.04,90.00,35.82,26.23,25.31
34,33.32,30.39,2.93,33.32,24.44,22.72,1.71,24.44,22.84,20.87,1.97,0.06,55.51,90.00,37.27,25.24,23.21
35,35.77,36.95,1.19,36.95,28.82,30.10,1.28,30.10,26.78,27.27,0.49,0.05,59.05,90.00,33.90,29.60,29.90
36,34.58,30.90,3.68,34.58,27.29,24.65,2.64,27.29,24.30,22.75,1.54,0.05,63.54,90.00,29.64,28.44,25.91
37,31.02,33.74,2.72,33.74,26.20,25.20,1.00,26.20,23.23,23.36,0.13,0.05,58.00,90.00,34.90,26.66,25.94
38,45.54,39.20,6.33,45.54,29.30,24.24,5.06,29.30,28.08,24.17,3.90,0.10,49.64,90.00,42.84,27.93,23.98
39,36.60,28.02,8.58,36.60,28.36,22.46,5.91,28.36,25.91,20.98,4.93,0.04,57.96,90.00,34.94,28.83,23.56
40,31.77,35.01,3.24,35.01,28.35,27.55,0.80,28.35,25.33,25.02,0.32,0.05,58.49,90.00,34.43,28.46,28.26
41,32.52,31.44,1.08,32.52,24.01,25.32,1.30,25.32,22.64,22.84,0.20,0.05,56.26,90.00,36.55,25.20,25.60
42,24.65,26.53,1.88,26.53,22.12,22.26,0.14,22.26,19.30,19.53,0.23,0.03,55.51,89.75,37.01,22.95,23.10
43,33.92,28.73,5.19,33.92,25.69,24.64,1.05,25.69,24.02,22.02,2.00,0.04,59.37,90.00,33.60,25.98,26.04
44,35.28,37.13,1.86,37.13,28.63,29.08,0.45,29.08,25.75,27.19,1.44,0.04,52.99,90.00,39.66,27.38,28.60
45,32.64,31.47,1.17,32.64,26.31,25.34,0.97,26.31,23.34,22.98,0.36,0.06,59.93,90.00,33.06,27.41,26.12
46,33.96,34.90,0.95,34.90,25.07,25.33,0.26,25.33,23.07,23.73,0.66,0.07,52.68,90.00,39.96,24.45,24.52
47,38.60,36.37,2.23,38.60,27.60,26.23,1.37,27.60,24.58,23.15,1.43,0.07,59.59,90.00,33.39,27.98,26.69
48,36.36,30.97,5.39,36.36,28.98,26.58,2.40,28.98,25.07,23.42,1.65,0.04,59.15,90.00,33.81,28.99,27.39
49,33.03,34.39,1.36,34.39,25.50,28.10,2.60,28.10,24.00,25.84,1.83,0.03,55.55,90.00,37.22,25.63,27.75
50,35.44,34.10,1.34,35.44,24.33,27.70,3.37,27.70,23.50,25.09,1.59,0.07,58.80,90.00,34.14,24.89,27.85
51,41.47,33.57,7.90,41.47,29.30,28.48,0.82,29.30,27.51,24.83,2.68,0.05,58.72,90.00,34.22,29.78,27.95
52,30.80,27.77,3.03,30.80,25.90,21.14,4.75,25.90,23.17,19.71,3.46,0.03,58.57,90.00,34.36,27.36,21.89
53,28.34,29.04,0.69,29.04,23.46,21.29,2.18,23.46,21.61,20.80,0.82,0.03,51.48,90.00,41.10,24.22,22.41
54,31.07,29.20,1.87,31.07,25.91,24.05,1.86,25.91,23.64,22.04,1.60,0.04,58.20,90.00,34.71,26.91,24.56
55,39.47,40.87,1.40,40.87,28.69,28.14,0.55,28.69,26.82,26.25,0.57,0.13,56.28,90.00,36.54,27.76,27.71
56,32.21,31.10,1.11,32.21,27.07,27.89,0.82,27.89,23.50,24.12,0.62,0.02,61.70,90.00,31.38,27.02,28.30
57,31.89,28.36,3.53,31.89,26.32,23.03,3.28,26.32,22.94,20.86,2.08,0.02,52.21,90.00,40.40,26.22,22.67
58,35.82,32.53,3.29,35.82,25.78,25.85,0.07,25.85,24.24,23.36,0.88,0.04,59.20,90.00,33.76,26.37,27.24
59,44.43,36.76,7.67,44.43,28.23,26.76,1.47,28.23,27.92,24.79,3.13,0.08,54.94,90.00,37.81,28.24,26.04
60,36.91,33.10,3.80,36.91,30.06,27.71,2.36,30.06,26.53,25.22,1.31,0.04,57.54,90.00,35.34,29.17,28.23
61,34.27,30.00,4.28,34.27,25.99,25.33,0.66,25.99,23.34,23.22,0.12,0.04,56.78,90.00,36.06,25.68,26.18
