,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
303,35.36,36.71,1.36,36.71,29.30,32.56,3.26,32.56,25.02,28.18,3.15,0.01,54.26,90.00,38.45,0.85,0.90,-19.90,-24.73
304,35.05,31.91,3.13,35.05,32.19,28.23,3.96,32.19,26.47,24.62,1.85,0.01,62.80,85.02,25.37,0.88,0.86,-25.93,-23.73
305,40.63,40.90,0.27,40.90,34.19,32.67,1.52,34.19,28.10,27.35,0.75,0.05,60.98,90.00,32.07,0.80,0.77,-23.14,-20.46
306,32.23,35.91,3.68,35.91,27.55,30.01,2.47,30.01,23.44,25.38,1.94,0.02,55.22,90.00,37.54,0.85,0.86,-19.71,-20.97
307,31.53,35.35,3.82,35.35,27.82,29.79,1.98,29.79,24.16,26.13,1.97,0.03,61.62,90.00,31.46,0.84,0.87,-20.67,-23.57
308,34.71,34.95,0.24,34.95,28.20,27.84,0.36,28.20,23.93,24.58,0.65,0.05,62.97,90.00,30.18,0.83,0.87,-19.78,-22.83
309,44.88,40.84,4.05,44.88,31.29,35.22,3.93,35.22,28.31,28.94,0.63,0.13,62.98,90.00,30.17,0.80,0.83,-21.44,-24.36
310,36.38,33.57,2.81,36.38,29.69,30.19,0.49,30.19,25.34,25.02,0.33,0.06,53.87,77.68,26.50,0.81,0.81,-21.38,-21.28
311,43.14,43.32,0.19,43.32,32.85,30.85,2.00,32.85,26.58,26.12,0.47,0.07,59.79,90.00,33.20,0.86,0.87,-23.16,-22.94
312,35.28,38.37,3.09,38.37,30.00,30.07,0.07,30.07,25.78,26.53,0.76,0.05,67.53,90.00,25.85,0.87,0.87,-25.39,-25.47
313,38.75,37.69,1.05,38.75,32.60,31.74,0.86,32.60,26.89,26.60,0.29,0.05,56.77,89.41,35.47,0.86,0.82,-23.26,-20.41
314,33.65,38.24,4.59,38.24,28.72,29.58,0.86,29.58,23.50,24.72,1.22,0.05,64.03,90.00,29.17,0.84,0.84,-21.51,-21.70
315,39.69,41.43,1.74,41.43,32.53,31.51,1.02,32.53,29.56,28.55,1.01,0.04,59.38,90.00,33.59,0.86,0.83,-25.05,-22.48
316,39.33,41.82,2.48,41.82,30.12,32.51,2.39,32.51,26.35,27.88,1.53,0.08,63.13,90.00,30.03,0.84,0.87,-22.28,-25.15
