,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
615,36.15,33.54,2.61,36.15,26.14,28.38,2.24,28.38,24.32,25.27,0.96,0.06,53.97,84.31,33.04,26.45,29.42
616,36.39,36.01,0.38,36.39,24.73,27.49,2.76,27.49,23.74,26.39,2.65,0.09,53.77,90.00,38.91,24.98,27.72
617,31.28,29.52,1.77,31.28,22.17,26.19,4.02,26.19,21.09,23.68,2.59,0.03,54.77,90.00,37.97,23.14,26.52
618,31.71,37.30,5.59,37.30,27.29,27.50,0.22,27.50,23.86,25.91,2.05,0.04,54.25,87.18,35.64,28.39,27.43
619,28.26,35.10,6.84,35.10,25.54,26.90,1.36,26.90,22.31,24.03,1.72,0.04,57.82,86.21,31.28,26.69,28.71
620,38.58,31.49,7.09,38.58,29.84,25.29,4.54,29.84,27.00,23.05,3.95,0.07,54.89,85.98,33.83,30.25,25.45
621,29.60,31.58,1.98,31.58,26.22,27.68,1.45,27.68,23.41,24.23,0.81,0.01,55.11,87.15,34.80,26.28,27.66
622,33.24,38.81,5.58,38.81,29.24,30.61,1.38,30.61,26.26,26.84,0.58,0.04,53.52,83.13,32.29,30.00,30.52
623,28.91,31.08,2.17,31.08,25.34,25.76,0.41,25.76,23.05,23.41,0.36,0.03,49.95,82.21,34.75,25.54,26.10
624,30.41,31.18,0.77,31.18,24.72,23.76,0.96,24.72,22.89,22.28,0.60,0.05,56.69,89.67,35.81,25.82,24.94
625,30.41,34.43,4.02,34.43,26.20,26.33,0.13,26.33,22.67,24.51,1.84,0.04,57.64,89.79,35.03,27.13,27.38
626,37.95,32.10,5.86,37.95,28.88,25.80,3.07,28.88,26.91,23.38,3.53,0.03,57.23,90.00,35.63,28.38,26.42
627,37.10,40.73,3.63,40.73,25.55,29.55,4.00,29.55,24.81,26.71,1.90,0.10,52.20,90.00,40.41,25.11,29.66
628,30.51,32.00,1.49,32.00,27.62,27.49,0.13,27.62,24.78,25.35,0.57,0.03,48.74,78.28,31.97,28.24,28.17
629,28.89,32.58,3.69,32.58,25.25,26.34,1.09,26.34,22.59,23.99,1.40,0.03,46.89,79.75,35.20,25.69,27.04
630,33.80,37.99,4.18,37.99,29.27,26.17,3.10,29.27,26.31,24.62,1.69,0.05,55.35,87.12,34.54,29.79,26.71
631,37.35,37.54,0.19,37.54,23.84,30.31,6.47,30.31,24.17,27.19,3.02,0.09,48.56,83.73,37.60,24.76,29.30
632,35.68,29.06,6.63,35.68,27.79,25.10,2.69,27.79,24.82,22.32,2.50,0.06,52.55,82.07,32.15,27.13,26.40
633,29.96,35.51,5.54,35.51,23.33,25.40,2.08,25.40,21.77,23.00,1.23,0.05,51.95,90.00,40.65,23.25,24.81
634,26.77,26.64,0.13,26.77,22.36,22.90,0.55,22.90,20.76,20.85,0.10,0.02,49.05,82.45,35.85,22.74,24.69
635,33.23,43.15,9.92,43.15,28.85,27.75,1.10,28.85,24.54,26.71,2.17,0.10,53.38,90.00,39.29,27.59,26.49
636,26.80,40.84,14.04,40.84,23.62,23.14,0.48,23.62,21.48,22.78,1.31,0.10,54.53,88.71,36.91,24.86,23.70
637,35.73,34.42,1.31,35.73,25.23,28.85,3.61,28.85,24.49,26.08,1.59,0.06,56.24,90.00,36.57,25.42,29.73
638,32.96,28.04,4.93,32.96,27.53,25.05,2.48,27.53,25.91,22.77,3.14,0.02,41.83,73.15,33.42,28.18,26.10
639,29.59,30.17,0.58,30.17,25.20,25.78,0.58,25.78,22.42,23.12,0.70,0.02,54.54,86.14,34.33,25.19,27.01
640,34.21,35.15,0.94,35.15,26.86,28.22,1.36,28.22,24.78,25.67,0.89,0.07,54.77,88.40,36.37,26.59,27.43
641,30.62,38.09,7.47,38.09,27.91,28.40,0.49,28.40,25.26,25.94,0.68,0.05,59.05,90.00,33.90,28.89,28.81
642,31.73,33.67,1.95,33.67,27.21,28.05,0.83,28.05,23.75,25.56,1.81,0.04,52.97,84.83,34.51,27.57,28.92
643,39.12,37.93,1.19,39.12,28.46,26.12,2.33,28.46,26.02,25.23,0.79,0.09,57.63,90.00,35.25,28.80,26.37
644,35.11,29.60,5.52,35.11,25.45,18.56,6.89,25.45,23.69,18.53,5.17,0.10,54.52,90.00,38.21,26.33,19.47
645,37.12,35.49,1.64,37.12,28.92,25.98,2.94,28.92,27.18,23.27,3.91,0.09,51.45,84.74,35.86,29.48,25.98
