,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
875,35.37,35.63,0.26,35.63,27.35,27.15,0.20,27.35,25.02,24.40,0.62,0.06,51.22,85.03,36.37,0.90,0.88,-22.15,-21.32
876,35.61,41.40,5.79,41.40,28.03,27.50,0.53,28.03,23.82,24.43,0.61,0.11,58.92,88.53,32.56,0.88,0.81,-23.82,-17.59
877,35.44,37.36,1.92,37.36,29.54,29.55,0.01,29.55,24.86,24.67,0.18,0.06,54.47,82.15,30.41,0.82,0.82,-20.09,-21.42
878,41.52,38.58,2.93,41.52,32.41,28.74,3.67,32.41,25.68,25.29,0.38,0.08,52.14,81.06,31.53,0.82,0.86,-19.37,-23.01
879,32.19,37.73,5.53,37.73,27.76,29.32,1.56,29.32,22.70,24.89,2.19,0.05,57.28,88.78,34.36,0.87,0.85,-22.05,-19.20
880,38.75,36.36,2.39,38.75,30.97,32.87,1.90,32.87,27.98,27.42,0.56,0.02,55.79,86.05,33.05,0.85,0.90,-23.33,-26.49
881,38.39,37.84,0.55,38.39,25.54,31.14,5.60,31.14,23.21,26.90,3.68,0.10,58.48,88.20,32.65,0.83,0.89,-17.60,-25.35
882,31.01,42.10,11.10,42.10,26.97,30.52,3.55,30.52,22.98,27.00,4.02,0.03,52.77,83.87,33.74,0.87,0.90,-21.00,-23.82
883,36.66,36.04,0.61,36.66,28.13,30.35,2.22,30.35,24.96,26.47,1.51,0.06,58.09,86.41,31.22,0.86,0.89,-22.16,-25.20
884,35.08,40.51,5.43,40.51,29.70,27.55,2.15,29.70,24.84,24.98,0.14,0.12,60.76,90.00,32.27,0.91,0.85,-25.33,-19.82
885,39.36,33.52,5.84,39.36,30.02,28.45,1.57,30.02,26.11,24.78,1.33,0.05,44.26,78.38,36.34,0.86,0.87,-21.66,-22.03
886,39.83,38.04,1.79,39.83,30.40,33.09,2.69,33.09,26.75,27.31,0.56,0.05,52.79,85.73,35.58,0.87,0.89,-22.51,-25.25
887,36.60,33.22,3.38,36.60,24.96,29.67,4.72,29.67,23.10,24.12,1.02,0.07,50.12,79.80,32.18,0.87,0.86,-19.87,-21.43
888,38.36,29.86,8.50,38.36,29.32,25.80,3.52,29.32,24.71,22.12,2.59,0.07,50.17,79.19,31.53,0.87,0.84,-23.08,-18.23
889,36.28,37.13,0.85,37.13,30.35,30.11,0.24,30.35,24.81,25.87,1.06,0.05,51.39,81.10,32.28,0.86,0.85,-22.38,-22.15
890,38.70,36.59,2.11,38.70,31.75,26.70,5.05,31.75,27.31,24.25,3.06,0.11,55.53,85.72,32.96,0.86,0.83,-23.78,-18.78
891,37.90,34.51,3.39,37.90,26.50,28.91,2.41,28.91,25.47,26.07,0.60,0.03,41.64,74.76,35.20,0.85,0.88,-19.56,-23.62
892,32.55,37.02,4.46,37.02,28.82,31.28,2.47,31.28,24.57,26.89,2.33,0.01,40.62,71.35,32.76,0.84,0.85,-20.52,-23.13
893,38.38,31.42,6.96,38.38,31.11,25.75,5.36,31.11,25.72,23.57,2.16,0.05,39.71,74.05,36.32,0.86,0.87,-21.27,-20.14
894,42.04,35.62,6.42,42.04,32.02,30.21,1.81,32.02,27.52,25.06,2.45,0.03,57.90,88.17,33.16,0.89,0.90,-23.54,-25.63
895,39.83,33.56,6.28,39.83,28.89,27.67,1.22,28.89,25.71,23.61,2.11,0.08,60.95,90.00,32.10,0.89,0.86,-23.46,-21.22
896,38.40,30.63,7.77,38.40,32.56,23.70,8.86,32.56,27.32,20.72,6.60,0.08,54.75,86.91,34.90,0.87,0.83,-24.62,-15.81
897,36.35,39.50,3.15,39.50,30.34,25.44,4.91,30.34,25.59,23.31,2.28,0.12,39.71,71.77,34.04,0.87,0.81,-23.40,-15.54
898,37.80,34.59,3.21,37.80,26.24,27.51,1.27,27.51,23.53,24.13,0.59,0.08,55.17,88.56,36.15,0.87,0.83,-19.72,-19.27
899,39.00,33.22,5.79,39.00,31.89,27.19,4.69,31.89,26.81,24.56,2.26,0.07,54.61,83.11,31.23,0.92,0.87,-26.83,-21.48
900,38.89,34.63,4.26,38.89,31.18,29.23,1.95,31.18,27.17,24.87,2.30,0.04,41.49,68.53,29.11,0.85,0.87,-22.78,-23.90
901,38.24,36.90,1.34,38.24,32.52,28.28,4.24,32.52,26.71,25.31,1.41,0.06,45.23,74.31,31.34,0.88,0.87,-25.47,-22.47
902,33.87,32.93,0.94,33.87,28.18,29.13,0.95,29.13,24.00,24.94,0.94,0.02,59.52,90.00,33.46,0.85,0.86,-20.95,-22.49
903,38.89,37.32,1.57,38.89,31.01,28.22,2.79,31.01,25.20,25.05,0.15,0.07,54.14,84.37,32.94,0.86,0.89,-21.52,-23.04
904,28.24,33.75,5.51,33.75,25.07,26.58,1.51,26.58,21.25,23.09,1.84,0.04,54.00,86.47,35.17,0.85,0.89,-18.61,-20.59
905,37.90,34.85,3.05,37.90,32.33,29.05,3.28,32.33,27.55,23.67,3.88,0.05,52.84,82.44,32.24,0.88,0.82,-25.04,-19.13
906,35.18,40.89,5.71,40.89,29.01,32.26,3.24,32.26,25.14,27.40,2.25,0.05,54.29,84.15,32.57,0.85,0.85,-21.03,-24.11
907,35.55,32.19,3.35,35.55,26.61,29.19,2.58,29.19,24.11,25.27,1.16,0.04,58.33,90.00,34.58,0.87,0.87,-20.75,-22.35
908,36.02,38.05,2.03,38.05,30.17,28.60,1.57,30.17,24.81,25.69,0.88,0.07,51.09,79.22,30.69,0.88,0.85,-23.57,-21.54
909,36.66,39.77,3.11,39.77,27.76,31.92,4.16,31.92,25.67,26.20,0.54,0.06,47.37,77.88,32.88,0.86,0.87,-20.94,-24.17
910,37.61,33.43,4.19,37.61,30.68,29.07,1.61,30.68,25.89,25.26,0.63,0.04,54.24,83.49,31.96,0.87,0.89,-22.26,-24.12
911,37.23,33.60,3.64,37.23,29.95,28.43,1.51,29.95,25.96,25.03,0.93,0.04,41.47,72.80,33.40,0.84,0.87,-20.90,-22.59
912,32.20,33.99,1.79,33.99,25.57,28.64,3.07,28.64,22.32,24.13,1.82,0.05,49.81,80.35,33.04,0.86,0.89,-19.08,-23.57
913,37.60,36.69,0.91,37.60,28.73,31.75,3.03,31.75,24.85,25.27,0.42,0.06,55.00,85.28,33.03,0.85,0.88,-21.18,-23.24
914,34.22,32.43,1.79,34.22,28.99,26.77,2.22,28.99,25.63,23.68,1.95,0.04,50.35,74.98,27.15,0.89,0.86,-25.16,-21.66
915,40.02,34.64,5.38,40.02,32.38,30.59,1.79,32.38,27.32,24.82,2.49,0.04,55.48,86.54,33.83,0.87,0.90,-23.01,-24.23
916,40.35,37.10,3.25,40.35,27.77,30.66,2.89,30.66,25.58,25.68,0.10,0.09,38.88,72.81,35.88,0.86,0.90,-19.68,-24.29
917,38.25,36.00,2.25,38.25,33.41,26.03,7.38,33.41,28.42,23.83,4.59,0.10,51.46,76.98,28.09,0.94,0.83,-30.27,-19.06
918,39.37,33.89,5.48,39.37,31.84,28.58,3.25,31.84,26.57,25.10,1.47,0.06,44.87,72.75,30.13,0.87,0.86,-24.85,-22.50
