,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
234,6.54,6.84,0.29,6.84,5.85,5.74,0.11,0.01,8.45,11.90,4.72,345.60,5.85,6.37
235,5.16,5.20,0.04,5.20,4.26,4.39,0.12,0.00,9.86,16.00,7.62,614.27,4.33,4.67
236,5.55,6.85,1.29,6.85,4.63,5.69,1.06,0.02,8.28,12.68,5.64,439.41,4.71,6.21
237,5.59,6.91,1.32,6.91,4.81,5.83,1.02,0.01,8.84,13.60,6.09,476.91,4.96,6.27
238,5.54,5.61,0.07,5.61,4.54,4.64,0.10,0.00,7.55,12.93,6.51,537.32,4.79,4.70
239,5.97,7.06,1.08,7.06,5.22,6.08,0.87,0.04,11.47,14.92,5.17,344.82,5.51,6.39
240,5.59,5.37,0.22,5.59,4.52,4.48,0.04,0.00,10.01,15.64,7.13,563.22,4.85,4.72
241,5.02,5.53,0.51,5.53,4.36,4.70,0.34,0.00,10.40,15.71,6.87,531.22,4.53,4.84
242,7.21,7.35,0.14,7.35,6.03,6.08,0.05,0.16,7.56,10.19,3.76,262.57,6.58,6.56
243,5.41,6.24,0.84,6.24,4.53,5.42,0.89,0.00,9.97,16.00,7.52,602.93,4.34,5.45
244,6.10,5.86,0.23,6.10,5.07,5.03,0.04,0.02,7.27,11.81,5.63,453.61,5.32,4.91
245,5.20,4.92,0.28,5.20,4.44,4.06,0.38,0.00,8.72,14.60,7.19,588.03,4.50,4.29
246,5.48,5.34,0.14,5.48,4.55,4.55,0.00,0.00,7.06,12.91,6.91,585.04,4.55,4.73
247,6.52,6.25,0.27,6.52,5.65,5.17,0.48,0.00,8.77,13.66,6.21,489.42,5.66,5.38
248,6.71,5.13,1.59,6.71,5.79,4.27,1.52,0.05,11.02,15.56,6.19,453.89,6.12,4.31
249,6.59,5.23,1.36,6.59,5.46,4.34,1.12,0.00,7.98,12.15,5.37,417.29,6.17,4.60
250,5.03,5.25,0.22,5.25,4.02,4.28,0.26,0.00,9.10,15.61,7.88,651.15,4.12,4.13
251,5.44,5.45,0.01,5.45,4.53,4.46,0.08,0.00,7.92,13.89,7.16,597.14,4.41,4.49
252,6.85,6.54,0.31,6.85,5.67,5.58,0.09,0.07,12.13,15.34,5.03,320.57,6.21,5.94
253,5.47,5.32,0.15,5.47,4.61,4.40,0.20,0.00,6.91,12.87,7.00,596.55,4.61,4.38
254,6.18,5.05,1.13,6.18,5.19,4.26,0.93,0.00,7.56,13.15,6.73,559.63,5.33,4.36
255,5.73,6.48,0.75,6.48,4.71,5.60,0.89,0.00,8.85,13.25,5.73,440.00,5.03,5.95
256,5.69,5.56,0.13,5.69,4.76,4.71,0.06,0.00,8.95,14.29,6.68,533.23,4.82,4.74
257,6.49,5.27,1.22,6.49,5.73,4.53,1.20,0.02,10.56,15.74,6.76,517.72,5.94,4.65
258,6.80,5.91,0.90,6.80,5.70,4.90,0.80,0.04,9.36,13.57,5.62,421.59,6.14,5.03
259,4.89,6.59,1.70,6.59,3.88,5.73,1.84,0.01,9.57,15.50,7.37,593.44,3.93,5.83
260,5.15,5.50,0.35,5.50,4.13,4.78,0.65,0.00,9.69,15.35,7.11,565.92,4.37,5.04
261,5.23,5.71,0.47,5.71,4.31,4.89,0.57,0.00,8.70,14.80,7.40,609.30,4.33,4.86
262,5.99,6.90,0.91,6.90,4.88,5.74,0.86,0.01,8.98,13.25,5.62,427.25,5.01,6.20
263,5.85,5.06,0.80,5.85,4.89,4.13,0.76,0.00,8.58,13.88,6.58,529.62,5.35,4.27
264,5.27,5.19,0.07,5.27,4.37,4.35,0.01,0.00,8.76,14.47,7.02,570.70,4.38,4.48
265,5.14,4.96,0.17,5.14,4.18,4.10,0.08,0.00,9.02,16.00,8.33,697.60,4.34,4.05
266,5.35,5.26,0.09,5.35,4.38,4.34,0.04,0.00,10.12,16.00,7.40,588.08,4.68,4.49
267,5.89,7.04,1.15,7.04,4.88,5.99,1.11,0.02,8.91,13.25,5.68,434.51,4.77,6.31
268,6.58,5.03,1.55,6.58,5.59,4.21,1.38,0.01,9.50,14.25,6.17,474.87,6.03,4.32
269,6.67,6.78,0.11,6.78,5.63,5.59,0.04,0.03,9.87,13.31,4.92,343.85,5.99,5.97
270,6.71,6.10,0.60,6.71,5.77,5.06,0.71,0.03,10.26,14.73,6.01,446.83,5.97,5.24
271,5.53,5.27,0.26,5.53,4.56,4.37,0.18,0.00,9.36,15.46,7.51,610.37,4.53,4.56
272,5.50,4.77,0.73,5.50,4.51,3.93,0.59,0.00,8.79,15.51,8.04,671.76,4.50,4.14
273,5.30,5.53,0.23,5.53,4.54,4.57,0.03,0.00,7.79,13.32,6.70,553.56,4.54,4.67
274,6.94,6.66,0.28,6.94,5.70,5.45,0.25,0.06,9.00,12.97,5.32,397.10,6.14,5.70
275,5.24,4.97,0.27,5.24,4.33,4.21,0.12,0.01,9.44,15.73,7.71,628.92,4.41,4.35
276,6.97,7.22,0.25,7.22,6.07,6.40,0.33,0.08,7.81,10.75,4.11,293.64,6.26,6.70
277,6.00,6.38,0.38,6.38,5.03,5.65,0.62,0.02,7.34,11.64,5.40,430.31,5.18,5.86
278,6.09,4.75,1.34,6.09,5.16,4.11,1.06,0.00,10.78,16.00,6.83,521.76,5.16,4.26
279,4.89,7.05,2.15,7.05,4.12,6.00,1.87,0.10,8.70,13.03,5.64,433.12,4.20,6.40
280,6.68,7.00,0.32,7.00,5.57,6.09,0.52,0.02,8.63,13.00,5.66,436.65,5.97,6.29
281,5.42,7.17,1.75,7.17,4.54,6.08,1.54,0.04,8.25,12.68,5.67,442.83,4.49,6.43
282,5.77,6.88,1.11,6.88,4.88,5.92,1.04,0.05,11.06,15.27,5.87,421.17,5.04,6.21
283,5.29,4.96,0.32,5.29,4.39,4.15,0.24,0.00,9.42,15.64,7.64,622.95,4.49,4.40
284,5.20,7.05,1.85,7.05,4.48,5.92,1.44,0.02,7.73,12.31,5.74,457.79,4.90,6.25
285,5.00,5.78,0.78,5.78,4.18,4.96,0.78,0.00,8.30,14.41,7.35,610.78,4.20,5.35
286,5.78,6.59,0.81,6.59,4.79,5.65,0.86,0.01,8.49,12.42,5.21,393.48,4.90,5.90
287,5.31,6.69,1.38,6.69,4.45,5.69,1.23,0.00,10.77,15.84,6.68,506.89,4.58,6.29
288,5.36,5.07,0.29,5.36,4.47,4.16,0.30,0.00,9.86,15.94,7.56,608.20,4.52,4.43
289,5.27,6.79,1.53,6.79,4.28,5.73,1.45,0.00,9.64,14.79,6.59,514.76,4.19,6.14
