hhid,Cluster,NDVILocation,Season,HerdSize,LivestockLosses,MortalityRate
2029,Lower,Sagante/Jaldesa,LRLD 2010,5.0,1.0,0.2
2029,Lower,Sagante/Jaldesa,LRLD 2011,18.0,11.0,0.6111111111111112
2029,Lower,Sagante/Jaldesa,LRLD 2015,2.0,2.0,1.0
2029,Lower,Sagante/Jaldesa,SRSD 2008,,4.0,
2029,Lower,Sagante/Jaldesa,SRSD 2011,7.0,1.0,0.14285714285714285
2029,Lower,Sagante/Jaldesa,SRSD 2012,6.0,2.0,0.3333333333333333
2030,Lower,Sagante/Jaldesa,LRLD 2010,5.0,1.0,0.2
2030,Lower,Sagante/Jaldesa,LRLD 2011,9.0,5.0,0.5555555555555556
2030,Lower,Sagante/Jaldesa,SRSD 2011,3.0,1.0,0.3333333333333333
2031,Lower,Sagante/Jaldesa,LRLD 2013,12.0,1.0,0.08333333333333333
2031,Lower,Sagante/Jaldesa,SRSD 2011,10.0,3.0,0.3
2032,Lower,Sagante/Jaldesa,LRLD 2009,,5.0,
2032,Lower,Sagante/Jaldesa,LRLD 2015,1.0,1.0,1.0
2032,Lower,Sagante/Jaldesa,SRSD 2010,13.0,4.0,0.3076923076923077
2032,Lower,Sagante/Jaldesa,SRSD 2011,10.0,3.0,0.3
2032,Lower,Sagante/Jaldesa,SRSD 2012,10.0,3.0,0.3
2033,Lower,Sagante/Jaldesa,LRLD 2009,,18.0,
2033,Lower,Sagante/Jaldesa,SRSD 2008,,3.0,
2033,Lower,Sagante/Jaldesa,SRSD 2011,2.0,1.0,0.5
2033,Lower,Sagante/Jaldesa,SRSD 2012,2.0,1.0,0.5
2034,Lower,Sagante/Jaldesa,LRLD 2009,,26.0,
2034,Lower,Sagante/Jaldesa,LRLD 2011,79.0,24.0,0.3037974683544304
2034,Lower,Sagante/Jaldesa,LRLD 2015,3.0,3.0,1.0
2034,Lower,Sagante/Jaldesa,SRSD 2008,,4.0,
2034,Lower,Sagante/Jaldesa,SRSD 2010,79.0,4.0,0.05063291139240506
2034,Lower,Sagante/Jaldesa,SRSD 2011,36.0,7.0,0.19444444444444445
2034,Lower,Sagante/Jaldesa,SRSD 2012,42.0,4.0,0.09523809523809523
2034,Lower,Sagante/Jaldesa,SRSD 2014,1.0,1.0,1.0
2035,Lower,Sagante/Jaldesa,LRLD 2009,,24.0,
2035,Lower,Sagante/Jaldesa,LRLD 2010,8.0,2.0,0.25
2035,Lower,Sagante/Jaldesa,LRLD 2011,10.0,7.0,0.7
2035,Lower,Sagante/Jaldesa,LRLD 2013,15.0,2.0,0.13333333333333333
2035,Lower,Sagante/Jaldesa,LRLD 2015,1.0,1.0,1.0
2035,Lower,Sagante/Jaldesa,SRSD 2008,,2.0,
2036,Lower,Sagante/Jaldesa,LRLD 2009,,10.0,
2036,Lower,Sagante/Jaldesa,LRLD 2011,13.0,13.0,1.0
2036,Lower,Sagante/Jaldesa,LRLD 2015,1.0,1.0,1.0
2036,Lower,Sagante/Jaldesa,SRSD 2008,,1.0,
2036,Lower,Sagante/Jaldesa,SRSD 2009,10.0,10.0,1.0
2036,Lower,Sagante/Jaldesa,SRSD 2010,12.0,2.0,0.16666666666666666
2036,Lower,Sagante/Jaldesa,SRSD 2014,9.0,9.0,1.0
2037,Lower,Sagante/Jaldesa,LRLD 2015,2.0,2.0,1.0
2038,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2038,Lower,Sagante/Jaldesa,LRLD 2011,2.0,2.0,1.0
2038,Lower,Sagante/Jaldesa,LRLD 2015,1.0,1.0,1.0
2038,Lower,Sagante/Jaldesa,SRSD 2014,1.0,1.0,1.0
2039,Lower,Sagante/Jaldesa,LRLD 2009,,3.0,
2039,Lower,Sagante/Jaldesa,LRLD 2010,9.0,1.0,0.1111111111111111
2039,Lower,Sagante/Jaldesa,LRLD 2011,26.0,12.0,0.46153846153846156
2039,Lower,Sagante/Jaldesa,LRLD 2012,17.0,3.0,0.17647058823529413
2039,Lower,Sagante/Jaldesa,LRLD 2015,13.0,13.0,1.0
2039,Lower,Sagante/Jaldesa,SRSD 2011,17.0,7.0,0.4117647058823529
2040,Lower,Sagante/Jaldesa,LRLD 2009,,11.0,
2040,Lower,Sagante/Jaldesa,LRLD 2010,24.0,12.0,0.5
2040,Lower,Sagante/Jaldesa,LRLD 2011,23.0,13.0,0.5652173913043478
2040,Lower,Sagante/Jaldesa,LRLD 2013,7.0,1.0,0.14285714285714285
2040,Lower,Sagante/Jaldesa,SRSD 2008,,4.0,
2041,Lower,Sagante/Jaldesa,LRLD 2009,,2.0,
2041,Lower,Sagante/Jaldesa,LRLD 2010,15.0,7.0,0.4666666666666667
2041,Lower,Sagante/Jaldesa,LRLD 2011,8.0,6.0,0.75
2041,Lower,Sagante/Jaldesa,LRLD 2012,5.0,3.0,0.6
2043,Lower,Sagante/Jaldesa,LRLD 2009,,38.0,
2043,Lower,Sagante/Jaldesa,LRLD 2010,35.0,2.0,0.05714285714285714
2043,Lower,Sagante/Jaldesa,LRLD 2011,49.0,21.0,0.42857142857142855
2043,Lower,Sagante/Jaldesa,LRLD 2012,30.0,2.0,0.06666666666666667
2043,Lower,Sagante/Jaldesa,SRSD 2010,49.0,4.0,0.08163265306122448
2043,Lower,Sagante/Jaldesa,SRSD 2011,30.0,3.0,0.1
2044,Lower,Sagante/Jaldesa,LRLD 2009,,5.0,
2044,Lower,Sagante/Jaldesa,SRSD 2010,3.0,3.0,1.0
2044,Lower,Sagante/Jaldesa,SRSD 2012,4.0,2.0,0.5
2045,Lower,Sagante/Jaldesa,LRLD 2010,10.0,1.0,0.1
2045,Lower,Sagante/Jaldesa,LRLD 2011,10.0,10.0,1.0
2045,Lower,Sagante/Jaldesa,LRLD 2013,35.0,2.0,0.05714285714285714
2045,Lower,Sagante/Jaldesa,SRSD 2011,10.0,3.0,0.3
2045,Lower,Sagante/Jaldesa,SRSD 2012,35.0,3.0,0.08571428571428572
2046,Lower,Sagante/Jaldesa,LRLD 2009,,8.0,
2046,Lower,Sagante/Jaldesa,LRLD 2011,4.0,2.0,0.5
2047,Lower,Sagante/Jaldesa,LRLD 2009,,3.0,
2047,Lower,Sagante/Jaldesa,LRLD 2010,6.0,2.0,0.3333333333333333
2047,Lower,Sagante/Jaldesa,LRLD 2011,3.0,3.0,1.0
2047,Lower,Sagante/Jaldesa,SRSD 2009,6.0,2.0,0.3333333333333333
2048,Lower,Sagante/Jaldesa,LRLD 2009,,32.0,
2048,Lower,Sagante/Jaldesa,LRLD 2010,13.0,4.0,0.3076923076923077
2048,Lower,Sagante/Jaldesa,LRLD 2011,14.0,2.0,0.14285714285714285
2048,Lower,Sagante/Jaldesa,SRSD 2009,13.0,3.0,0.23076923076923078
2048,Lower,Sagante/Jaldesa,SRSD 2010,14.0,1.0,0.07142857142857142
2048,Lower,Sagante/Jaldesa,SRSD 2011,16.0,2.0,0.125
