,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
624,5.98,4.05,1.94,0.07,3.12,8.00,5.04,6.25,4.25
625,4.64,5.70,1.07,0.03,3.26,8.00,4.90,4.75,6.02
626,4.53,5.99,1.46,0.00,2.92,7.63,4.86,4.35,6.24
627,4.24,4.28,0.04,0.00,2.92,9.31,6.54,4.38,4.50
628,4.10,4.21,0.11,0.00,3.03,9.53,6.65,4.19,4.35
629,5.61,5.96,0.35,0.02,3.60,7.29,3.88,5.76,6.31
630,4.27,4.34,0.07,0.00,3.11,9.40,6.44,4.37,4.55
631,5.98,4.15,1.83,0.04,3.32,8.00,4.85,6.56,4.34
632,4.84,4.38,0.46,0.00,2.87,8.89,6.16,4.67,4.37
633,4.25,4.91,0.66,0.00,2.43,8.16,5.84,4.50,4.97
634,5.44,4.41,1.03,0.00,2.56,8.00,5.57,5.45,4.38
635,5.90,4.32,1.59,0.03,3.12,7.78,4.82,6.27,4.31
636,5.66,4.56,1.10,0.07,3.14,8.00,5.01,6.26,4.56
637,4.28,4.72,0.44,0.00,3.17,9.00,5.99,4.54,4.87
638,4.80,4.76,0.04,0.00,3.91,9.38,5.67,4.93,4.80
639,5.51,4.47,1.04,0.04,2.97,8.00,5.17,5.90,4.45
640,5.39,4.58,0.80,0.01,3.07,8.02,5.11,5.70,4.73
641,4.98,6.03,1.04,0.04,4.26,8.00,3.96,5.23,6.56
642,4.74,5.76,1.02,0.06,3.49,8.00,4.68,4.60,6.41
643,5.90,4.67,1.24,0.00,3.45,8.00,4.73,6.14,4.89
644,3.97,4.78,0.80,0.02,2.88,8.99,6.26,4.14,4.88
645,4.46,4.49,0.03,0.00,3.22,9.36,6.30,4.41,4.57
646,5.75,4.53,1.21,0.01,3.34,8.00,4.83,5.98,4.79
647,5.58,4.54,1.04,0.03,3.18,7.86,4.83,6.07,4.50
648,5.86,5.76,0.10,0.01,4.13,7.42,3.49,6.03,6.31
649,5.23,4.58,0.65,0.00,2.65,8.00,5.48,5.40,4.74
650,5.41,4.60,0.81,0.01,3.23,8.20,5.13,5.86,4.68
651,4.36,4.68,0.33,0.00,2.86,8.94,6.22,4.44,4.73
652,6.27,4.20,2.06,0.06,2.79,7.66,5.01,6.56,4.18
653,6.20,4.18,2.02,0.03,3.47,8.42,5.12,6.49,4.30
654,4.53,4.73,0.20,0.00,3.05,9.05,6.15,4.44,4.74
655,6.14,4.64,1.50,0.02,3.74,8.00,4.45,6.44,4.76
656,5.22,4.23,0.99,0.00,3.93,9.32,5.59,5.21,4.62
657,5.79,5.76,0.03,0.02,4.13,7.25,3.33,6.10,6.32
658,4.89,4.52,0.37,0.00,2.71,8.52,5.95,4.78,4.73
659,4.53,4.65,0.12,0.03,2.75,8.61,6.00,4.81,4.69
660,5.58,4.48,1.10,0.01,2.98,8.00,5.17,5.66,4.34
661,4.68,4.68,0.00,0.00,3.75,9.43,5.86,4.88,4.86
662,5.93,6.00,0.08,0.06,3.41,6.59,3.35,6.41,6.30
663,4.40,4.49,0.09,0.00,4.10,10.14,6.25,4.55,4.59
664,4.59,4.61,0.02,0.00,3.52,9.29,5.94,4.97,4.71
665,4.33,4.23,0.10,0.00,4.04,10.54,6.70,4.37,4.32
666,4.94,4.37,0.57,0.00,3.04,8.68,5.79,5.15,4.47
667,4.72,3.93,0.79,0.00,4.19,10.48,6.50,4.74,4.03
668,5.05,4.67,0.37,0.02,3.29,8.76,5.64,5.35,4.64
669,4.12,5.17,1.05,0.01,2.66,8.52,5.99,4.10,5.28
