,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
209,21.58,20.65,0.93,0.06,51.54,90.00,41.03,0.91,0.83,-19.79,-14.73
210,26.22,26.08,0.15,0.10,41.48,71.11,31.71,0.87,0.82,-23.35,-20.12
211,24.80,21.92,2.88,0.03,53.69,84.84,33.84,0.88,0.83,-22.56,-17.59
212,23.16,26.86,3.70,0.10,48.99,79.50,32.96,0.89,0.92,-21.06,-24.37
213,24.59,26.28,1.68,0.06,47.07,77.76,33.04,0.86,0.91,-20.34,-24.64
214,23.38,25.62,2.25,0.05,62.71,90.00,30.42,0.86,0.86,-21.13,-22.84
215,23.77,25.37,1.60,0.09,41.64,75.55,35.99,0.83,0.85,-19.94,-19.70
216,26.18,25.25,0.93,0.00,51.35,83.57,34.79,0.90,0.88,-24.00,-22.75
217,24.02,25.04,1.02,0.04,45.06,72.43,29.62,0.85,0.86,-20.82,-22.05
218,25.97,24.50,1.48,0.03,44.05,73.09,31.24,0.91,0.87,-25.74,-22.00
219,24.12,24.38,0.26,0.05,45.12,75.44,32.58,0.85,0.86,-20.46,-20.81
220,23.53,27.02,3.49,0.07,51.67,83.04,33.96,0.86,0.87,-20.80,-22.21
221,25.93,21.57,4.36,0.06,47.67,80.25,34.96,0.91,0.86,-23.85,-18.52
222,25.99,24.69,1.30,0.06,55.12,87.93,35.57,0.88,0.88,-22.78,-20.71
223,26.40,22.66,3.74,0.05,56.78,90.00,36.06,0.91,0.85,-24.03,-18.48
224,24.42,24.79,0.37,0.04,57.09,86.71,32.48,0.86,0.89,-21.17,-23.22
225,24.54,24.28,0.25,0.03,54.98,84.25,32.02,0.92,0.91,-24.78,-23.25
226,23.13,26.23,3.11,0.05,48.67,80.57,34.34,0.89,0.91,-20.21,-25.81
227,20.37,22.28,1.91,0.03,48.75,88.33,42.02,0.83,0.87,-14.47,-18.20
228,23.53,25.03,1.50,0.09,59.85,87.58,30.72,0.90,0.90,-23.35,-22.83
229,22.81,23.65,0.83,0.05,48.16,82.31,36.56,0.87,0.94,-19.42,-24.24
230,23.88,19.91,3.97,0.03,48.31,81.69,35.79,0.88,0.84,-21.84,-15.64
231,24.72,23.54,1.18,0.03,54.99,90.00,37.76,0.88,0.87,-21.21,-20.59
232,22.93,24.73,1.80,0.01,57.48,88.80,34.19,0.86,0.94,-19.62,-25.59
233,22.59,25.04,2.46,0.04,50.55,79.96,31.94,0.88,0.91,-20.94,-24.67
234,24.61,26.76,2.15,0.04,51.78,81.84,32.65,0.88,0.90,-22.77,-24.62
235,23.07,22.52,0.55,0.04,42.43,70.80,30.49,0.89,0.88,-21.94,-21.45
236,26.88,23.88,2.99,0.09,56.26,90.00,36.55,0.87,0.82,-23.92,-16.88
237,26.51,24.40,2.11,0.03,45.46,78.15,34.97,0.87,0.86,-23.45,-21.22
238,24.61,22.66,1.95,0.02,47.49,81.98,36.87,0.91,0.90,-23.34,-20.70
239,28.19,27.37,0.81,0.06,57.77,90.00,35.12,0.89,0.87,-24.39,-23.24
240,25.44,25.35,0.09,0.06,50.40,79.69,31.81,0.86,0.89,-21.11,-25.55
241,27.11,23.02,4.09,0.03,48.33,80.40,34.49,0.89,0.87,-25.20,-20.34
242,24.50,26.18,1.67,0.02,49.92,79.23,31.81,0.85,0.87,-21.36,-23.77
243,26.71,28.56,1.85,0.03,50.65,81.67,33.55,0.88,0.87,-24.03,-24.58
244,25.63,24.61,1.02,0.02,42.95,76.23,35.43,0.87,0.89,-22.14,-22.62
245,24.67,26.72,2.06,0.10,57.28,90.00,35.58,0.89,0.91,-21.46,-24.11
246,25.97,25.53,0.44,0.08,52.53,82.49,32.59,0.91,0.91,-23.93,-24.29
247,24.14,26.71,2.57,0.08,51.86,80.74,31.48,0.90,0.91,-23.35,-24.15
248,23.59,22.85,0.74,0.05,52.12,85.93,36.42,0.88,0.88,-21.12,-19.87
249,25.56,25.46,0.10,0.05,58.49,90.00,34.44,0.92,0.89,-24.92,-23.38
250,23.67,24.81,1.14,0.07,52.97,90.00,39.68,0.84,0.88,-17.21,-20.89
251,25.06,26.44,1.38,0.08,55.03,86.02,33.74,0.89,0.92,-22.49,-25.70
252,20.24,20.72,0.48,0.01,53.47,90.00,39.21,0.87,0.88,-16.52,-18.47
253,21.68,26.38,4.69,0.07,48.20,81.89,36.10,0.83,0.88,-15.51,-24.53
254,27.25,25.18,2.06,0.08,57.89,90.00,35.01,0.88,0.88,-24.14,-21.71
255,25.57,23.08,2.48,0.05,50.69,84.43,36.27,0.90,0.80,-25.30,-15.62
256,24.50,24.24,0.25,0.08,55.84,88.60,35.54,0.87,0.89,-20.22,-22.19
257,25.68,25.60,0.08,0.06,56.36,90.00,36.45,0.94,0.89,-24.72,-22.56
258,25.83,23.93,1.90,0.07,40.09,65.73,27.65,0.92,0.91,-25.33,-23.89
259,24.59,25.70,1.11,0.08,57.94,90.00,34.96,0.87,0.88,-20.76,-23.48
260,25.34,23.06,2.28,0.04,46.12,77.78,33.97,0.87,0.86,-21.83,-19.97
261,26.73,26.01,0.73,0.07,56.67,89.99,36.16,0.86,0.89,-21.21,-23.36
262,27.60,23.48,4.12,0.08,50.24,79.22,31.49,0.91,0.83,-27.05,-19.57
263,24.99,21.65,3.34,0.07,59.10,90.00,33.85,0.87,0.84,-23.18,-17.73
264,23.44,24.21,0.77,0.10,54.86,83.01,30.89,0.87,0.88,-21.55,-21.42
265,24.14,24.61,0.47,0.10,59.75,90.00,33.24,0.90,0.90,-22.26,-22.37
266,22.28,22.52,0.24,0.02,44.73,77.86,35.37,0.87,0.90,-19.67,-20.54
267,25.06,25.47,0.42,0.04,43.74,75.81,34.25,0.86,0.91,-20.80,-24.77
268,25.18,25.70,0.52,0.06,58.93,90.00,34.02,0.92,0.87,-25.12,-22.47
269,23.77,23.44,0.34,0.10,51.70,90.00,40.89,0.88,0.87,-20.62,-17.97
270,25.33,24.99,0.33,0.07,56.04,87.27,34.03,0.86,0.91,-22.04,-24.37
271,23.87,24.43,0.57,0.10,49.07,72.85,26.23,0.85,0.85,-21.87,-21.64
272,22.17,24.97,2.80,0.05,51.40,82.45,33.61,0.88,0.83,-19.52,-20.00
273,23.65,22.92,0.73,0.05,47.88,83.15,37.66,0.88,0.82,-20.94,-17.65
274,26.54,26.31,0.23,0.04,59.21,90.00,33.75,0.92,0.91,-25.52,-24.08
275,22.92,25.25,2.33,0.05,48.84,77.19,30.79,0.88,0.93,-21.03,-25.60
276,24.20,25.14,0.95,0.06,53.08,86.56,36.14,0.91,0.89,-23.57,-21.29
277,28.75,24.77,3.98,0.05,47.48,81.21,36.10,0.89,0.81,-26.62,-16.93
278,22.21,25.36,3.15,0.10,48.45,80.08,34.05,0.83,0.88,-17.36,-23.79
279,24.04,19.81,4.23,0.07,46.91,78.52,33.95,0.87,0.84,-22.15,-15.70
280,24.93,24.89,0.03,0.07,42.44,74.57,34.25,0.87,0.91,-19.79,-24.35
281,26.37,25.15,1.23,0.05,57.40,89.54,35.01,0.88,0.87,-24.57,-21.35
282,25.19,23.68,1.51,0.05,57.67,90.00,35.21,0.90,0.86,-23.12,-20.05
283,27.74,23.11,4.63,0.04,57.21,90.00,35.65,0.91,0.87,-25.98,-20.29
