,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
264,23.60,22.73,0.87,0.05,57.83,90.00,35.06,25.78,26.81
265,25.17,24.94,0.23,0.06,56.72,90.00,36.11,28.08,26.99
266,26.32,19.31,7.01,0.03,58.08,90.00,34.82,29.76,21.55
267,23.94,25.10,1.16,0.04,59.84,90.00,33.15,27.42,28.07
268,25.92,25.26,0.66,0.02,58.71,90.00,34.22,28.83,27.75
269,23.27,22.96,0.30,0.05,56.57,90.00,36.26,25.42,26.30
270,24.04,24.92,0.88,0.04,58.97,90.00,33.98,26.80,28.04
271,22.80,22.77,0.04,0.04,55.19,90.00,37.57,24.28,25.12
272,20.74,23.24,2.50,0.02,53.85,90.00,38.85,24.05,26.16
273,23.62,24.55,0.93,0.03,54.66,90.00,38.07,25.96,26.07
274,22.80,23.44,0.64,0.05,53.44,90.00,39.23,24.66,26.14
275,25.77,27.07,1.30,0.03,56.20,90.00,36.61,28.58,29.77
276,24.17,23.55,0.62,0.04,58.30,90.00,34.61,28.20,26.44
277,22.09,23.64,1.54,0.08,61.02,90.00,32.03,26.17,27.28
278,23.24,22.98,0.26,0.04,61.15,90.00,31.91,27.67,27.65
279,23.95,22.57,1.38,0.04,59.66,90.00,33.32,26.88,25.86
280,26.40,24.51,1.88,0.05,58.04,90.00,34.86,28.95,27.88
281,24.03,23.24,0.79,0.05,56.98,90.00,35.87,27.12,25.65
282,23.00,22.31,0.69,0.02,64.42,90.00,28.80,27.78,27.55
283,25.27,24.31,0.96,0.06,61.36,90.00,31.71,27.73,27.38
284,20.36,25.20,4.84,0.07,56.82,90.00,36.03,21.99,27.22
285,24.40,24.97,0.57,0.01,54.37,90.00,38.34,26.94,26.97
286,22.87,23.94,1.08,0.03,55.15,90.00,37.61,25.66,26.18
287,23.80,24.22,0.42,0.04,54.11,90.00,38.60,25.56,27.13
288,24.81,25.53,0.73,0.06,58.16,90.00,34.75,28.29,27.25
289,22.57,22.75,0.18,0.02,50.77,90.00,41.77,25.22,24.22
290,23.56,25.30,1.74,0.04,56.40,88.24,34.67,27.05,28.34
291,25.98,23.61,2.37,0.04,57.63,90.00,35.26,28.41,27.12
292,24.57,24.49,0.08,0.05,63.11,90.00,30.05,28.45,28.69
293,23.50,23.76,0.26,0.08,58.98,90.00,33.97,26.12,26.18
294,24.49,23.53,0.96,0.01,57.91,84.91,29.89,29.35,27.70
295,23.57,25.03,1.46,0.05,58.93,90.00,34.01,26.34,28.86
296,24.49,22.87,1.62,0.08,53.76,90.00,38.93,25.74,23.90
297,24.54,24.70,0.17,0.04,54.91,90.00,37.84,26.09,26.61
298,25.60,24.63,0.97,0.07,56.45,90.00,36.38,27.96,24.30
299,25.89,22.69,3.20,0.06,54.67,90.00,38.06,28.09,25.42
300,25.29,26.24,0.95,0.08,53.72,90.00,38.97,26.59,26.71
301,23.24,24.91,1.67,0.07,58.91,90.00,34.03,25.20,26.66
302,26.75,26.14,0.61,0.06,59.93,90.00,33.07,29.78,29.96
303,22.25,21.51,0.73,0.03,54.85,90.00,37.89,24.43,24.76
304,26.09,25.57,0.52,0.06,55.62,90.00,37.16,26.86,27.10
305,22.02,23.66,1.64,0.04,57.57,89.75,35.06,25.64,27.95
306,22.67,21.79,0.88,0.01,55.54,90.00,37.23,25.65,25.01
307,23.98,22.45,1.53,0.03,62.18,90.00,30.93,27.92,25.81
308,24.19,23.61,0.58,0.03,61.38,90.00,31.69,27.68,26.67
309,26.72,23.91,2.81,0.05,53.58,90.00,39.10,27.96,25.18
310,23.52,25.21,1.69,0.05,60.22,90.00,32.79,26.99,28.60
311,23.00,23.42,0.41,0.03,57.17,90.00,35.68,26.52,27.05
312,24.51,25.07,0.56,0.05,53.25,90.00,39.41,25.58,26.54
313,24.59,23.08,1.51,0.07,64.36,90.00,28.86,28.44,27.23
314,23.53,24.87,1.35,0.06,60.69,90.00,32.34,26.49,28.35
315,23.32,23.97,0.65,0.04,58.69,89.34,33.58,26.41,26.69
316,25.49,24.28,1.21,0.09,57.81,90.00,35.08,27.82,27.03
317,22.53,21.85,0.68,0.03,57.12,90.00,35.73,25.63,25.15
318,25.36,24.51,0.85,0.05,58.99,90.00,33.96,27.50,27.90
319,23.65,23.21,0.44,0.01,54.71,90.00,38.03,25.93,25.89
