201701_Evap_tavg,201702_Evap_tavg,201703_Evap_tavg,201704_Evap_tavg,201705_Evap_tavg,201706_Evap_tavg,201707_Evap_tavg,201708_Evap_tavg,201709_Evap_tavg,201710_Evap_tavg,201711_Evap_tavg,201712_Evap_tavg,201801_Evap_tavg,201802_Evap_tavg,201803_Evap_tavg,201804_Evap_tavg,201805_Evap_tavg,201806_Evap_tavg,201807_Evap_tavg,201808_Evap_tavg,201809_Evap_tavg,201810_Evap_tavg,201811_Evap_tavg,201812_Evap_tavg,ADM3_PCODE
5.278724038083745e-05,6.079173868383458e-05,5.010017685350778e-05,4.332822818937412e-05,4.298943346942733e-05,4.8292425329712346e-05,5.069800382556339e-05,4.597913550348582e-05,4.6232178538650254e-05,4.541502453596901e-05,4.160831767322794e-05,5.0611741539410246e-05,5.024197682432572e-05,5.0815704994259965e-05,3.682923612703728e-05,3.733111796099473e-05,4.1513460247958506e-05,5.012134568330688e-05,5.058552653934789e-05,4.953126731116154e-05,4.711661067419302e-05,3.894474240759268e-05,4.932075775077156e-05,4.574584583886948e-05,TH841105
4.4865753878160335e-05,5.425162904254784e-05,5.195613497577622e-05,4.32447976364972e-05,4.064614417891707e-05,4.0519919922093765e-05,4.298878887612925e-05,3.992921284532216e-05,4.094786540448126e-05,3.982035569659449e-05,3.4305697961611444e-05,4.185696148190577e-05,4.418825624474182e-05,4.802191220887551e-05,4.218547924971905e-05,4.41197881567878e-05,4.368501276610286e-05,4.435323739911771e-05,4.352067315803906e-05,4.423451176340067e-05,4.377440932683143e-05,3.53150676711241e-05,4.0540781065382566e-05,3.800847479215032e-05,TH841106
5.1277325662720014e-05,6.367368316432253e-05,5.522098975548547e-05,4.748741819967736e-05,4.659056929386411e-05,5.0257106632113096e-05,5.177187623465422e-05,4.804479301594461e-05,4.84944839800346e-05,4.652012604338978e-05,4.307066001719235e-05,5.004104912100045e-05,5.361455607335354e-05,5.538255494675419e-05,4.500836464438188e-05,3.806763749253442e-05,4.8637285705665054e-05,5.170996948006348e-05,5.190050345659294e-05,5.0684501638510425e-05,4.940838290470781e-05,3.995554931380877e-05,4.6255551295416575e-05,4.4874928066738894e-05,TH841201
4.965772061533326e-05,5.9302097356229546e-05,5.8095811902256186e-05,4.7471574647947215e-05,4.6385679996523225e-05,4.755541613081027e-05,4.915017756313287e-05,4.536331421811864e-05,4.52817210546443e-05,4.420722568080088e-05,4.119766108637448e-05,4.567342045096812e-05,4.812064708999593e-05,5.168881994499279e-05,4.627881568478976e-05,4.200827643415183e-05,4.976504737080615e-05,4.950190313987309e-05,4.911287427567114e-05,4.808914183095501e-05,4.6781999343577486e-05,3.816272445141186e-05,4.327036129263071e-05,4.236024180865372e-05,TH841204
4.93532317954153e-05,6.084078877115614e-05,5.271641929348967e-05,4.626194719489125e-05,4.527272320472508e-05,4.896245791864138e-05,5.059396047818969e-05,4.723833106225004e-05,4.76890740697696e-05,4.612132266067968e-05,4.20175107624728e-05,4.928617984930338e-05,5.349468443655901e-05,5.56282732167633e-05,4.5651108099454105e-05,4.001322367237121e-05,4.807132452438725e-05,5.081954752353397e-05,5.084912030755405e-05,4.998503471381623e-05,4.938788448855892e-05,3.994138472281918e-05,4.542990008153145e-05,4.382035175222466e-05,TH841205
4.96222074642888e-05,6.192940733930025e-05,5.40432225518128e-05,4.793763847603717e-05,4.6540131312612176e-05,4.956401063611213e-05,5.093270583564844e-05,4.786154160998118e-05,4.817438497339997e-05,4.634469488667649e-05,4.222328864280392e-05,4.962379357090765e-05,5.34884062947032e-05,5.625380845890843e-05,4.652547713092718e-05,4.162828611053767e-05,4.961275058597896e-05,5.15792708020779e-05,5.16417010440721e-05,5.0749105561124415e-05,4.995587519911119e-05,4.027681291565989e-05,4.517849840058516e-05,4.426813792953104e-05,TH841206
5.025535053460909e-05,6.322318271606446e-05,5.504432291880041e-05,4.857367513566828e-05,4.704818816348236e-05,4.99538237174986e-05,5.105687444613962e-05,4.8075234549053936e-05,4.845964120796205e-05,4.65415481713358e-05,4.2737871555123286e-05,4.949699927765832e-05,5.355274444461308e-05,5.6402932412390576e-05,4.697217610858127e-05,4.175293924863184e-05,4.994687645375396e-05,5.214151784608059e-05,5.192541314258175e-05,5.081438123998402e-05,5.001454369542677e-05,4.0204682391075656e-05,4.548468161689849e-05,4.451926249665461e-05,TH841208
5.025135853013471e-05,6.253184033857396e-05,5.421085977526463e-05,4.738305886376869e-05,4.62690943079774e-05,4.969705973719657e-05,5.112405757135377e-05,4.777398348080263e-05,4.820087111327815e-05,4.6394334838345e-05,4.260262416815516e-05,4.958147495278808e-05,5.35812320450932e-05,5.583543539620894e-05,4.594479611801656e-05,3.993758588851343e-05,4.885774310534876e-05,5.155762856326252e-05,5.15403240416948e-05,5.046010590563984e-05,4.9610542856736527e-05,4.003263918380555e-05,4.5723407177929566e-05,4.438369460438039e-05,TH841209
5.158235720838641e-05,6.183997380911606e-05,5.709390877834281e-05,4.624518012040159e-05,4.6311959080547386e-05,4.957366399582681e-05,5.121958717174559e-05,4.670268393356615e-05,4.733759014252991e-05,4.602164378054806e-05,4.388923422362275e-05,4.834896524907549e-05,4.973572898933917e-05,5.08981356059984e-05,4.199370945206078e-05,3.5705287626270835e-05,4.697062927725055e-05,4.96742270313078e-05,4.87480804789154e-05,4.783449320649837e-05,4.702536570627915e-05,3.957551754273132e-05,4.660140497538679e-05,4.4556492004047175e-05,TH841210
5.205612517728679e-05,6.371168731215138e-05,5.493143817877494e-05,4.512343330141955e-05,4.572409914814934e-05,4.990146436231447e-05,5.175491579090445e-05,4.738507310059941e-05,4.836823642949853e-05,4.667530458014366e-05,4.39174372526715e-05,5.077545401801409e-05,5.285513968842454e-05,5.2346201569189627e-05,3.976270012173498e-05,3.160894796798921e-05,4.609489956304729e-05,5.050017956829676e-05,4.94746961559444e-05,4.7495845483530855e-05,4.756071733376968e-05,3.9921735813923246e-05,4.747020911254239e-05,4.547601510449084e-05,TH841304
4.814243059185669e-05,5.8784457509481605e-05,5.157542965842208e-05,4.530803678065589e-05,4.413418916227029e-05,4.758138248167981e-05,4.94374483631185e-05,4.646383650834492e-05,4.682768733084554e-05,4.564905164697361e-05,4.101310957564832e-05,4.871314015367998e-05,5.201936521412049e-05,5.3384485282276605e-05,4.3902308222129264e-05,3.97473590391191e-05,4.728230235282374e-05,5.003957545814939e-05,4.983064465869176e-05,4.882206134967211e-05,4.860255489449763e-05,3.945864513511847e-05,4.468643071213836e-05,4.263641192840904e-05,TH841401
4.658654776481198e-05,5.857123252681738e-05,5.226585850921969e-05,4.628659316030098e-05,4.477468001069056e-05,4.7547220902305695e-05,4.929839986489313e-05,4.654667585970542e-05,4.688434852756202e-05,4.553423956629155e-05,4.017374460398965e-05,4.8232488324922445e-05,5.1442454705357696e-05,5.370269457932694e-05,4.544887662659573e-05,4.274634823815315e-05,4.8986672460767885e-05,4.972375756082189e-05,4.976591732625403e-05,4.902102883399759e-05,4.875253734414426e-05,3.982203654075559e-05,4.362486656570376e-05,4.25336820249498e-05,TH841402
4.954583012289226e-05,6.0820595480549606e-05,5.2065853946754255e-05,4.5462297926317656e-05,4.490442230200406e-05,4.882189154260074e-05,5.0701448845540685e-05,4.713736134267915e-05,4.757220865717638e-05,4.6087380217069615e-05,4.215859091051665e-05,4.920678450254704e-05,5.34602244335934e-05,5.5071578328808185e-05,4.518407782201721e-05,3.819112019884558e-05,4.7378310359566754e-05,5.073270929349298e-05,5.069972310720102e-05,4.951327186666927e-05,4.908353172435827e-05,3.9726148275321565e-05,4.5720739002510806e-05,4.375394053765399e-05,TH841403
4.778988986346029e-05,5.926114241437878e-05,5.2486516348063074e-05,4.612411616930661e-05,4.4657041949039385e-05,4.773107588702703e-05,4.94073550554442e-05,4.65210693776289e-05,4.69284862619605e-05,4.5601343559594096e-05,4.076771714966904e-05,4.877618124084138e-05,5.217204276133507e-05,5.420122412763285e-05,4.528517762942701e-05,4.171082577287572e-05,4.817582423736829e-05,5.003411944988179e-05,4.994595669677296e-05,4.912378233696911e-05,4.879638341926733e-05,3.965096073791375e-05,4.430245559971437e-05,4.272297010778486e-05,TH841404
4.386756317009445e-05,5.513454202235448e-05,5.026536336675379e-05,4.431980927768491e-05,4.2356006426007776e-05,4.422472680868135e-05,4.6510825248207695e-05,4.3983925103333526e-05,4.468678827824409e-05,4.366870704112494e-05,3.762787570926583e-05,4.5512086522702666e-05,4.856981896167317e-05,5.133099992658616e-05,4.503953555586247e-05,4.321227312737212e-05,4.732772395977454e-05,4.692399252888205e-05,4.664209435898519e-05,4.559125981532749e-05,4.6473665973404e-05,3.854999083220956e-05,4.123705397856137e-05,3.9932796068892565e-05,TH841405
4.946446152576048e-05,6.161157175273472e-05,5.376605827766576e-05,4.834542423144482e-05,4.70901849464873e-05,4.977375228764868e-05,5.144478079428095e-05,4.829245853323129e-05,4.831327459837608e-05,4.628565248693795e-05,4.195583606857687e-05,5.027499232266982e-05,5.364169984253964e-05,5.665533760278348e-05,4.671784178527701e-05,4.169330727128281e-05,5.0355098336264975e-05,5.163202415446068e-05,5.21982827861962e-05,5.132728526975792e-05,5.039063802482184e-05,4.062310555302049e-05,4.479374193949863e-05,4.4560163302152224e-05,TH841501
