Zone,Tambon,Year,WeightedLoss,WeightSum,min_plant_date,max_plant_date,Loss
C1,10-46-5,2019,0.0,201700.0,2019-05-07,2019-10-21,0.0
C1,10-46-5,2020,0.0,187900.0,2020-05-01,2020-08-13,0.0
C1,10-46-5,2021,0.0,58658.0,2021-05-05,2021-08-15,0.0
C1,10-46-5,2022,0.0,187758.0,2022-05-01,2022-10-25,0.0
C1,10-48-1,2015,0.0,5200.0,2015-07-28,2015-07-28,0.0
C1,10-48-1,2016,0.0,18400.0,2016-05-30,2016-08-05,0.0
C1,10-48-1,2017,0.0,10800.0,2017-05-08,2017-06-25,0.0
C1,10-48-1,2018,0.0,14400.0,2018-05-08,2018-06-09,0.0
C1,10-48-1,2019,0.0,24400.0,2019-05-06,2019-10-06,0.0
C1,10-48-1,2020,0.0,5800.0,2020-05-06,2020-06-09,0.0
C1,10-48-1,2021,0.0,11000.0,2021-05-20,2021-06-06,0.0
C1,10-48-1,2022,0.0,14000.0,2022-05-04,2022-06-11,0.0
C1,10-48-2,2015,0.0,2000.0,2015-05-15,2015-05-15,0.0
C1,10-48-2,2016,0.0,20000.0,2016-06-26,2016-07-19,0.0
C1,10-48-2,2017,0.0,10800.0,2017-09-29,2017-10-03,0.0
C1,10-48-2,2018,0.0,12800.0,2018-06-01,2018-08-13,0.0
C1,10-48-2,2019,0.0,10800.0,2019-08-01,2019-09-11,0.0
C1,10-48-2,2020,0.0,6800.0,2020-06-06,2020-06-06,0.0
C1,10-48-2,2021,0.0,3600.0,2021-07-18,2021-07-18,0.0
C1,10-48-2,2022,0.0,7600.0,2022-10-03,2022-10-03,0.0
C1,10-5-8,2015,0.0,24000.0,2015-06-06,2015-08-13,0.0
C1,10-5-8,2016,0.0,44000.0,2016-05-08,2016-08-01,0.0
C1,10-5-8,2017,0.0,22400.0,2017-05-01,2017-08-13,0.0
C1,10-5-8,2018,0.0,36000.0,2018-05-14,2018-06-01,0.0
C1,10-5-8,2019,0.0,86400.0,2019-05-10,2019-09-02,0.0
C1,10-5-8,2020,0.0,95200.0,2020-05-06,2020-08-09,0.0
C1,10-5-8,2021,0.0,54400.0,2021-05-01,2021-06-13,0.0
C1,10-5-8,2022,0.0,12000.0,2022-05-05,2022-05-05,0.0
